,번호,제목,글쓴이,날짜,조회수,링크
563,573,2015년도 2학기 근로 장학생 모집(~08.21),행정실,2015-08-13,5517,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7224&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=38
564,572,2015학년도 2학기 재단법인 상록장학재단 신규장학생 선발 안내,행정실,2015-08-13,5328,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7220&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=38
565,571,2015학년도 2학기 재단법인 송암문화재단 장학생 선발 안내,행정실,2015-08-12,5175,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7219&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=38
566,570,2015학년도 2학기 우양재단 푸드스마일즈 장학생 선발 안내,행정실,2015-08-03,5973,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7203&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=38
567,569,2015년도 한국고등교육재단 장학생 선발 안내,행정실,2015-07-30,5985,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7200&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=38
568,568,2015학년도 2학기 학자금대출 특별추천 방법 안내,행정실,2015-07-29,5769,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7192&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=38
569,567,2015학년도 2학기 학자금대출 신청 안내,행정실,2015-07-29,5674,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7191&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=38
570,566,2015학년도 2학기 재단법인 태성장학회 장학생 선발 안내,행정실,2015-07-29,5867,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7190&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=39
571,565,2015학년도 2학기 사랑드림장학사업 신규장학생 선발 안내 및 홍보 의뢰,행정실,2015-07-28,5696,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7189&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=39
572,564,2015학년도 2학기 재단법인 대정장학재단 장학생 선발 안내,행정실,2015-07-23,5741,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7184&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=39
573,563,2015학년도 2학기 재단법인 우석문화재단 장학생 선발 안내,행정실,2015-07-22,5785,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7181&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=39
