,번호,캠퍼스,제목,글쓴이,날짜,조회수,링크
98,273,공통,"[정보처] 'KHU알리미' 앱 깔고, 경품 받으세요~",정보처,2017-07-05,1079,https://www.khu.ac.kr/kor/notice/detail.do?seq=109196&page=10&category=EVENT
99,272,국제,[국제지역연구원] 제5회 환동해 심포지엄 개최 안내,국제지역연구원,2017-07-04,494,https://www.khu.ac.kr/kor/notice/detail.do?seq=109187&page=10&category=EVENT
100,271,서울,[중앙박물관]제135회 정기문화답사 안내 - 새 길 타...,중앙박물관,2017-07-03,437,https://www.khu.ac.kr/kor/notice/detail.do?seq=109170&page=11&category=EVENT
101,270,국제,[영통도서관] 세종대왕의 한글 꿈 프로그램 안내,국제교류처(국제),2017-06-19,683,https://www.khu.ac.kr/kor/notice/detail.do?seq=109061&page=11&category=EVENT
102,269,공통,[SK청년비상] 2017-1학기 경희대학교 창업경연대회...,창업보육센터(서울),2017-06-09,811,https://www.khu.ac.kr/kor/notice/detail.do?seq=108995&page=11&category=EVENT
103,268,서울,이영림 동문 초청 특강 개최 안내(6월 8일 15시),후마니타스칼리지(서울),2017-06-07,577,https://www.khu.ac.kr/kor/notice/detail.do?seq=108962&page=11&category=EVENT
104,267,공통,[중앙박물관] 제134회 정기문화답사 안내 - 산길과 ...,중앙박물관,2017-06-05,431,https://www.khu.ac.kr/kor/notice/detail.do?seq=108932&page=11&category=EVENT
105,266,국제,"[혜정박물관]2017 단오부채 만들기 행사안내 ""여름이...",혜정박물관,2017-05-24,561,https://www.khu.ac.kr/kor/notice/detail.do?seq=108853&page=11&category=EVENT
106,265,국제,2017 학생포트폴리오 작성법 특강 개최,공학교육혁신센터,2017-05-22,548,https://www.khu.ac.kr/kor/notice/detail.do?seq=108825&page=11&category=EVENT
107,264,국제,「제 10회 소외된 90%와 함께하는 창의융합설계 아카...,공학교육혁신센터,2017-05-19,506,https://www.khu.ac.kr/kor/notice/detail.do?seq=108817&page=11&category=EVENT
108,263,서울,[중앙도서관] 제48회 작은음악회 안내 (경품 이벤트 ...,중앙도서관(서울),2017-05-19,538,https://www.khu.ac.kr/kor/notice/detail.do?seq=108816&page=11&category=EVENT
109,262,서울,[국제세미나] 위험인식과 원자력 에너지: 아시아 지역의...,미래사회에너지정책,2017-05-17,430,https://www.khu.ac.kr/kor/notice/detail.do?seq=108812&page=11&category=EVENT
110,261,국제,2017총학생회 하계해외탐방X단기어학연수 프로그램 참가...,학생지원처 학생지원과(국제),2017-05-17,1139,https://www.khu.ac.kr/kor/notice/detail.do?seq=108810&page=12&category=EVENT
111,260,국제,제7회 여성건설공학인 육성을 위한 KICEM 멘토링 행...,공학교육혁신센터,2017-05-17,385,https://www.khu.ac.kr/kor/notice/detail.do?seq=108809&page=12&category=EVENT
112,259,공통,[중앙박물관]제133회 정기문화답사 안내 - 금강 물결...,중앙박물관,2017-05-02,514,https://www.khu.ac.kr/kor/notice/detail.do?seq=108754&page=12&category=EVENT
113,258,공통,2017 'KHUCC(쿠씨씨)' 공모,커뮤니케이션센터,2017-04-13,2358,https://www.khu.ac.kr/kor/notice/detail.do?seq=108638&page=12&category=EVENT
114,257,공통,2017 '웃는 사자상' 공모,커뮤니케이션센터,2017-04-13,1526,https://www.khu.ac.kr/kor/notice/detail.do?seq=108637&page=12&category=EVENT
115,256,공통,제132회 정기문화답사 안내- 구름도 자고 가고 바람도...,중앙박물관,2017-03-30,657,https://www.khu.ac.kr/kor/notice/detail.do?seq=108546&page=12&category=EVENT
116,255,서울,미대사관 초청 특별 강연 - 미국은 변화하고 있는가? ...,중앙도서관(서울),2017-03-29,715,https://www.khu.ac.kr/kor/notice/detail.do?seq=108545&page=12&category=EVENT
117,254,국제,제 3회 지식재산(IP)정보 활용 아이디어 경진대회,지식창업교육센터,2017-03-14,600,https://www.khu.ac.kr/kor/notice/detail.do?seq=108417&page=12&category=EVENT
118,253,국제,2017 대학창의발명대회 ( ~04.13),지식창업교육센터,2017-03-14,510,https://www.khu.ac.kr/kor/notice/detail.do?seq=108416&page=12&category=EVENT
119,252,서울,SK 청년 飛上 프로젝트창업 동아리 선발 모집 공고,창업보육센터(서울),2017-03-13,458,https://www.khu.ac.kr/kor/notice/detail.do?seq=108403&page=12&category=EVENT
120,251,서울,제131회 정기문화답사 안내-역사와 문화가 소통하는 ...,중앙박물관,2017-03-03,490,https://www.khu.ac.kr/kor/notice/detail.do?seq=108301&page=13&category=EVENT
121,250,서울,[후마니타스 교양교육연구소] 제9회 교양교육 학술 심포...,교양교육연구소,2017-02-10,827,https://www.khu.ac.kr/kor/notice/detail.do?seq=108114&page=13&category=EVENT
122,249,공통,[국제대학]글로벌 인재 인증서 수여식 및 우수학생 활동...,국제대학,2017-02-10,656,https://www.khu.ac.kr/kor/notice/detail.do?seq=108113&page=13&category=EVENT
123,248,공통,SK 청년 비상 프로그램 사업 아이디어 고도화 특별과정...,창업보육센터(서울),2017-02-03,669,https://www.khu.ac.kr/kor/notice/detail.do?seq=108027&page=13&category=EVENT
124,247,서울,[오! 캐롤] 티켓 할인안내,평화의전당,2016-12-27,1394,https://www.khu.ac.kr/kor/notice/detail.do?seq=107764&page=13&category=EVENT
125,246,국제,2017년 동계(제46차) 대학생을 위한 외교 워크숍 ...,학생지원처 학생지원과(국제),2016-12-09,1657,https://www.khu.ac.kr/kor/notice/detail.do?seq=107655&page=13&category=EVENT
126,245,서울,[입학처] 학생부종합전형의 이해를 위한 서울지역 고교 ...,입학처(서울),2016-12-08,1090,https://www.khu.ac.kr/kor/notice/detail.do?seq=107647&page=13&category=EVENT
127,244,서울,Magnolia 2016 목련회의·목련음악회 개최안내,대외협력처(서울),2016-12-02,864,https://www.khu.ac.kr/kor/notice/detail.do?seq=107613&page=13&category=EVENT
128,243,서울,SK청년비상 창업경연대회 개최,창업보육센터(서울),2016-12-01,467,https://www.khu.ac.kr/kor/notice/detail.do?seq=107597&page=13&category=EVENT
129,242,공통,2016 일반대학원 열린 인권토론회 개최,일반대학원(서울),2016-11-28,367,https://www.khu.ac.kr/kor/notice/detail.do?seq=107583&page=13&category=EVENT
130,241,서울,[한-아세안센터] 2016 한-아세안청년포럼,창업보육센터(서울),2016-11-16,630,https://www.khu.ac.kr/kor/notice/detail.do?seq=107528&page=14&category=EVENT
131,240,공통,[제2회 대학생 新조선통신사 - 통신사의 길을 따라서...,학생지원센터 학생지원팀(서울),2016-11-14,628,https://www.khu.ac.kr/kor/notice/detail.do?seq=107515&page=14&category=EVENT
132,239,서울,2016 무용학부 창작공연(Young Choreogra...,무용학부,2016-11-09,508,https://www.khu.ac.kr/kor/notice/detail.do?seq=107472&page=14&category=EVENT
133,238,서울,스타트업 청년채용 페스티벌,창업보육센터(서울),2016-11-09,582,https://www.khu.ac.kr/kor/notice/detail.do?seq=107470&page=14&category=EVENT
134,237,서울,제130회 정기문화답사 안내-조선후기 사회변혁의 열망!,중앙박물관,2016-11-07,311,https://www.khu.ac.kr/kor/notice/detail.do?seq=107453&page=14&category=EVENT
135,236,공통,2016 공학교육페스티벌(E2 FESTA) 행사 안내 ...,공학교육혁신센터,2016-11-01,539,https://www.khu.ac.kr/kor/notice/detail.do?seq=107421&page=14&category=EVENT
136,235,서울,SK 청년 飛上 프로그램 <수요 멘토링 데이>,창업보육센터(서울),2016-10-25,567,https://www.khu.ac.kr/kor/notice/detail.do?seq=107349&page=14&category=EVENT
137,234,서울,[제 5회 아산서원 인문학 로드쇼 - '연극: 경계에서...,평화의전당,2016-10-20,458,https://www.khu.ac.kr/kor/notice/detail.do?seq=107320&page=14&category=EVENT
138,233,국제,2016 Kyung Hee GSP Forum,국제대학원,2016-10-15,534,https://www.khu.ac.kr/kor/notice/detail.do?seq=107296&page=14&category=EVENT
139,232,국제,[국제지역연구원] 2016 한중일 국제학술회의 개최안내,국제지역연구원,2016-10-13,418,https://www.khu.ac.kr/kor/notice/detail.do?seq=107280&page=14&category=EVENT
140,231,서울,[국제지역연구원] 히스패닉연구소 학술대회 개최안내,국제지역연구원,2016-10-13,317,https://www.khu.ac.kr/kor/notice/detail.do?seq=107277&page=15&category=EVENT
141,230,공통,2016 제4회 지식재산능력시험 대비 무료 특강,지식창업교육센터,2016-10-05,349,https://www.khu.ac.kr/kor/notice/detail.do?seq=107228&page=15&category=EVENT
142,229,공통,2016 제4회 창의적 아이디어 및 창업 경진대회,지식창업교육센터,2016-10-05,385,https://www.khu.ac.kr/kor/notice/detail.do?seq=107227&page=15&category=EVENT
143,228,공통,[지식창업교육센터] 2016 장학금 신청 공고,지식창업교육센터,2016-10-05,389,https://www.khu.ac.kr/kor/notice/detail.do?seq=107226&page=15&category=EVENT
144,227,공통,"제129회 정기문화답사안내-천하 입지의 명당, 계룡산 ...",중앙박물관,2016-09-30,306,https://www.khu.ac.kr/kor/notice/detail.do?seq=107205&page=15&category=EVENT
145,226,공통,제1회 대한민국 청년의 날 - 창업취업엑스포,창업보육센터(서울),2016-09-30,301,https://www.khu.ac.kr/kor/notice/detail.do?seq=107203&page=15&category=EVENT
146,225,서울,SK 청년 비상 프로그램 빅데이터 특별강좌,창업보육센터(서울),2016-09-21,537,https://www.khu.ac.kr/kor/notice/detail.do?seq=107135&page=15&category=EVENT
147,224,공통,KC-Startup Festival 2016(학생창업 ...,창업보육센터(서울),2016-09-19,453,https://www.khu.ac.kr/kor/notice/detail.do?seq=107118&page=15&category=EVENT
