,번호,제목,글쓴이,날짜,조회수,링크
128,29,2017 하반기 IBK기업은행 인턴 채용공고,행정실,2017-11-21,506,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10420&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=9
129,28,2017 동계 KICEA 주관 뉴욕현장실습 참가신청 안내[기간연장 11/23까지],행정실,2017-11-06,637,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10312&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=9
130,27,2017 동계 Stanley prep 주관 LA현장실습 참가신청 안내[기간연장 11/23까지],행정실,2017-11-06,512,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10311&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=9
131,26,2017 동계 현장실습 시행 안내(12/14까지),행정실,2017-11-06,1531,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10310&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=9
132,25,2017학년도 2학기 경영인턴십 과목 추후 폐지 안내,행정실,2017-10-30,283,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10303&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=9
133,24,졸업시험 면제과목 안내(현장연수활동),행정실,2017-10-25,409,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10295&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=9
134,23,졸업시험 면제 과목 안내 (현장연수활동),행정실,2017-09-14,274,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10280&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=9
135,22,졸업시험 면제과목 안내(현장연수활동),행정실,2017-08-30,334,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10268&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=10
136,21,2017학년도 하계 (주)에이티세미콘 2017 하계 현장연수활동 연수생 모집,행정실,2017-07-28,268,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10252&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=10
137,20,2017학년도 하계 고려해운 산학협력 단기현장연수활동 참가자 선발공고,행정실,2017-07-07,374,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10244&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=10
138,19,2017학년도 상반기 하계 호텔기업 현장연수 사전 참여신청,행정실,2017-05-26,408,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10225&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=10
