,번호,캠퍼스,제목,글쓴이,날짜,조회수,링크
650,186,국제,2015학년도 2학기 숙명여자대학교 학점교류 안내,교무처 학사지원과(국제),2015-07-15,375,https://www.khu.ac.kr/kor/notice/detail.do?seq=103853&page=66&category=CREDIT
651,185,국제,2015학년도 2학기 국민대학교 학점교류 안내,교무처 학사지원과(국제),2015-07-15,325,https://www.khu.ac.kr/kor/notice/detail.do?seq=103852&page=66&category=CREDIT
652,184,국제,2015학년도 2학기 제주대학교 학점교류 안내,교무처 학사지원과(국제),2015-07-15,374,https://www.khu.ac.kr/kor/notice/detail.do?seq=103851&page=66&category=CREDIT
653,183,국제,2015학년도 2학기 중앙대학교 학점교류 안내,교무처 학사지원과(국제),2015-07-15,333,https://www.khu.ac.kr/kor/notice/detail.do?seq=103850&page=66&category=CREDIT
654,182,서울,2015학년도 2학기 상명대학교 학점교류 안내,교무처 학사지원과(서울),2015-07-14,330,https://www.khu.ac.kr/kor/notice/detail.do?seq=103840&page=66&category=CREDIT
655,181,서울,2015학년도 2학기 제주대학교 학점교류 안내,교무처 학사지원과(서울),2015-07-14,472,https://www.khu.ac.kr/kor/notice/detail.do?seq=103839&page=66&category=CREDIT
656,180,서울,2015학년도 2학기 숙명여자대학교 학점교류 안내,교무처 학사지원과(서울),2015-07-14,371,https://www.khu.ac.kr/kor/notice/detail.do?seq=103836&page=66&category=CREDIT
657,179,서울,2015학년도 2학기 국민대학교 학점교류 안내,교무처 학사지원과(서울),2015-07-14,318,https://www.khu.ac.kr/kor/notice/detail.do?seq=103835&page=66&category=CREDIT
658,178,국제,2015학년도 2학기 동국대학교 학점교류 안내,교무처 학사지원과(국제),2015-07-13,320,https://www.khu.ac.kr/kor/notice/detail.do?seq=103830&page=66&category=CREDIT
659,177,서울,2015학년도 2학기 한국교원대학교 학점교류 안내,교무처 학사지원과(서울),2015-07-13,286,https://www.khu.ac.kr/kor/notice/detail.do?seq=103827&page=66&category=CREDIT
660,176,공통,2015학년도 2학기 고려대학교 학점교류 안내,교무처 학사지원과(서울),2015-07-13,563,https://www.khu.ac.kr/kor/notice/detail.do?seq=103826&page=67&category=CREDIT
661,175,서울,2015학년도 2학기 서울대학교 학점교류 안내,교무처 학사지원과(서울),2015-07-10,519,https://www.khu.ac.kr/kor/notice/detail.do?seq=103813&page=67&category=CREDIT
662,174,국제,2015학년도 2학기 서울대학교 학점교류 안내,교무처 학사지원과(국제),2015-07-10,394,https://www.khu.ac.kr/kor/notice/detail.do?seq=103812&page=67&category=CREDIT
663,173,서울,2015학년도 2학기 동국대학교 학점교류 안내,교무처 학사지원과(서울),2015-07-09,330,https://www.khu.ac.kr/kor/notice/detail.do?seq=103809&page=67&category=CREDIT
664,172,서울,2015학년도 2학기 서울과학기술대학교 학점교류 안내,교무처 학사지원과(서울),2015-07-06,316,https://www.khu.ac.kr/kor/notice/detail.do?seq=103786&page=67&category=CREDIT
665,171,국제,2015학년도 하계계절학기 단국대학교(죽전) 학점교류 ...,교무처 학사지원과(국제),2015-06-05,368,https://www.khu.ac.kr/kor/notice/detail.do?seq=103561&page=67&category=CREDIT
666,170,서울,2015학년도 하계계절학기 타대학소속 학점교류생 학번 ...,후마니타스칼리지(서울),2015-06-03,2167,https://www.khu.ac.kr/kor/notice/detail.do?seq=103523&page=67&category=CREDIT
667,169,국제,2015학년도 하계계절학기 협성대학교 학점교류 안내,교무처 학사지원과(국제),2015-05-26,342,https://www.khu.ac.kr/kor/notice/detail.do?seq=103458&page=67&category=CREDIT
668,168,국제,2015학년도 하계계절학기 수원대학교 학점교류 안내,교무처 학사지원과(국제),2015-05-26,342,https://www.khu.ac.kr/kor/notice/detail.do?seq=103457&page=67&category=CREDIT
669,167,국제,2015학년도 하계계절학기 가톨릭대학교 학점교류 안내,교무처 학사지원과(국제),2015-05-20,355,https://www.khu.ac.kr/kor/notice/detail.do?seq=103413&page=67&category=CREDIT
670,166,국제,2015학년도 하계계절학기 경기대학교(수원) 학점교류 ...,교무처 학사지원과(국제),2015-05-20,323,https://www.khu.ac.kr/kor/notice/detail.do?seq=103412&page=68&category=CREDIT
671,165,국제,2015학년도 하계계절학기 한세대학교 학점교류 안내,교무처 학사지원과(국제),2015-05-15,284,https://www.khu.ac.kr/kor/notice/detail.do?seq=103399&page=68&category=CREDIT
672,164,국제,2015학년도 하계계절학기 인천대학교(송도) 학점교류 ...,교무처 학사지원과(국제),2015-05-14,341,https://www.khu.ac.kr/kor/notice/detail.do?seq=103392&page=68&category=CREDIT
673,163,국제,2015학년도 하계계절학기 대진대학교 학점교류 안내,교무처 학사지원과(국제),2015-05-14,387,https://www.khu.ac.kr/kor/notice/detail.do?seq=103391&page=68&category=CREDIT
674,162,국제,2015학년도 하계계절학기 서울시립대학교 학점교류 안내,교무처 학사지원과(국제),2015-05-14,357,https://www.khu.ac.kr/kor/notice/detail.do?seq=103390&page=68&category=CREDIT
675,161,서울,2015학년도 서울시립대학교 하계계절학기 학점교류 안내,후마니타스칼리지(서울),2015-05-14,559,https://www.khu.ac.kr/kor/notice/detail.do?seq=103388&page=68&category=CREDIT
676,160,국제,2015학년도 하계계절학기 한국항공대학교 학점교류 안내,교무처 학사지원과(국제),2015-05-14,271,https://www.khu.ac.kr/kor/notice/detail.do?seq=103387&page=68&category=CREDIT
677,159,국제,2015학년도 하계계절학기 중앙대학교(안성) 학점교류 ...,교무처 학사지원과(국제),2015-05-12,306,https://www.khu.ac.kr/kor/notice/detail.do?seq=103372&page=68&category=CREDIT
678,158,국제,2015학년도 하계계절학기 고려대학교 학점교류 안내,교무처 학사지원과(국제),2015-05-11,476,https://www.khu.ac.kr/kor/notice/detail.do?seq=103365&page=68&category=CREDIT
