,번호,제목,글쓴이,날짜,조회수,링크
47,136,2018학년도 2학기 경영대학 자체파견 교환학생 선발 안내(일본),행정실,2018-03-20,3291,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10720&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=4
48,135,2018학년도 하계 경영대학 전공연수 프로그램 1차 참가자 모집 안내(연장),행정실,2018-03-09,2028,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10686&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=4
49,134,2018학년도 2학기 경영대학 자체파견 교환학생 선발 안내(연장),행정실,2018-02-21,1914,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10616&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=4
50,133,2017학년도 하계 경영대학 전공연수 후기 공유,행정실,2018-02-08,770,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10593&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=4
51,132,2018학년도 1학기 경영대학 외국인유학생 멘토·멘티 프로그램 참가자 모집 연장,행정실,2018-01-26,2674,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10544&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=4
52,131,2018학년도 1학기 경영대학 차체초청 교환학생 버디 모집 공고,행정실,2018-01-25,2235,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10536&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=4
53,130,2017학년도 2학기 경영대학 자체초청 교환학생 버디프로그램 후기 공유,행정실,2018-01-25,474,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10535&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=4
54,129,2018학년도 경영대학 교환학생 학점인정 방법 및 절차 안내,행정실,2018-01-11,1169,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10509&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=4
55,128,2017학년도 동계방학 외국인 재학생 국제화 어학연수단 모집,행정실,2017-12-04,590,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10440&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=4
56,127,2017학년도 2학기 외국인 재학생 토픽장려 장학 신청 공고(TOPIK),행정실,2017-11-22,349,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10422&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=4
